#Parameters = {f=2856; mc=25}
#"Frequency / MHz"	"S1,1 [Magnitude in dB]"
#------------------------------------------
2851.8400000000	-5.3551792024086
2851.8500000000	-5.4709851275450
2851.8600000000	-5.5896214771367
2851.8700000000	-5.7111620653996
2851.8800000000	-5.8356830654576
2851.8900000000	-5.9632631351058
2851.9000000000	-6.0939835524048
2851.9100000000	-6.2279283618702
2851.9200000000	-6.3651845320656
2851.9300000000	-6.5058421254513
2851.9400000000	-6.6499944813846
2851.9500000000	-6.7977384132054
2851.9600000000	-6.9491744203762
2851.9700000000	-7.1044069166727
2851.9800000000	-7.2635444754357
2851.9900000000	-7.4267000928954
2852.0000000000	-7.5939914705592
2852.0100000000	-7.7655413176011
2852.0200000000	-7.9414776741031
2852.0300000000	-8.1219342558549
2852.0400000000	-8.3070508212073
2852.0500000000	-8.4969735601706
2852.0600000000	-8.6918555055241
2852.0700000000	-8.8918569651174
2852.0800000000	-9.0971459737532
2852.0900000000	-9.3078987619722
2852.1000000000	-9.5243002376344
2852.1100000000	-9.7465444742964
2852.1200000000	-9.9748351978671
2852.1300000000	-10.209386259704
2852.1400000000	-10.450422079922
2852.1500000000	-10.698178038905
2852.1600000000	-10.952900787391
2852.1700000000	-11.214848435429
2852.1800000000	-11.484290567306
2852.1900000000	-11.761508012026
2852.2000000000	-12.046792275907
2852.2100000000	-12.340444513444
2852.2200000000	-12.642773872410
2852.2300000000	-12.954094996190
2852.2400000000	-13.274724396391
2852.2500000000	-13.604975316699
2852.2600000000	-13.945150587952
2852.2700000000	-14.295532816199
2852.2800000000	-14.656371040009
2852.2900000000	-15.027862729171
2852.3000000000	-15.410129662702
2852.3100000000	-15.803185811377
2852.3200000000	-16.206894859326
2852.3300000000	-16.620914452326
2852.3400000000	-17.044623721505
2852.3500000000	-17.477030243599
2852.3600000000	-17.916652643621
2852.3700000000	-18.361376025175
2852.3800000000	-18.808280151783
2852.3900000000	-19.253446019060
2852.4000000000	-19.691756689316
2852.4100000000	-20.116724380351
2852.4200000000	-20.520397732675
2852.4300000000	-20.893426980175
2852.4400000000	-21.225379498098
2852.4500000000	-21.505384733369
2852.4600000000	-21.723124308763
2852.4700000000	-21.870064050306
2852.4800000000	-21.940682998655
2852.4900000000	-21.933367403362
2852.5000000000	-21.850684950714
2852.5100000000	-21.698945484216
2852.5200000000	-21.487196997465
2852.5300000000	-21.225967332195
2852.5400000000	-20.926072671319
2852.5500000000	-20.597705556307
2852.5600000000	-20.249873211744
2852.5700000000	-19.890150010953
2852.5800000000	-19.524658082711
2852.5900000000	-19.158185374038
2852.6000000000	-18.794368840755
2852.6100000000	-18.435894474302
2852.6200000000	-18.084686584166
2852.6300000000	-17.742073394676
2852.6400000000	-17.408925026911
2852.6500000000	-17.085764812236
2852.6600000000	-16.772857107919
2852.6700000000	-16.470275480973
2852.6800000000	-16.177955032466
2852.6900000000	-15.895732191797
2852.7000000000	-15.623374760330
2852.7100000000	-15.360604446521
2852.7200000000	-15.107113661641
2852.7300000000	-14.862577951646
2852.7400000000	-14.626665124134
2852.7500000000	-14.399041880260
2852.7600000000	-14.179378568241
2852.7700000000	-13.967352526574
2852.7800000000	-13.762650371700
2852.7900000000	-13.564969498569
2852.8000000000	-13.374018997131
2852.8100000000	-13.189520138129
2852.8200000000	-13.011206544016
2852.8300000000	-12.838824132350
2852.8400000000	-12.672130897434
2852.8500000000	-12.510896579655
2852.8600000000	-12.354902259554
2852.8700000000	-12.203939904262
2852.8800000000	-12.057811886813
2852.8900000000	-11.916330493420
2852.9000000000	-11.779317429725
2852.9100000000	-11.646603333890
2852.9200000000	-11.518027302090
2852.9300000000	-11.393436430184
2852.9400000000	-11.272685373998
2852.9500000000	-11.155635929702
2852.9600000000	-11.042156634993
2852.9700000000	-10.932122391269
2852.9800000000	-10.825414106610
2852.9900000000	-10.721918359064
2853.0000000000	-10.621527079592
2853.0100000000	-10.524137253862
2853.0200000000	-10.429650642021
2853.0300000000	-10.337973515544
2853.0400000000	-10.249016410214
2853.0500000000	-10.162693894317
2853.0600000000	-10.078924351155
2853.0700000000	-9.9976297749827
2853.0800000000	-9.9187355795401
2853.0900000000	-9.8421704183731
2853.1000000000	-9.7678660161804
2853.1100000000	-9.6957570104670
2853.1200000000	-9.6257808028290
2853.1300000000	-9.5578774192328
2853.1400000000	-9.4919893786937
2853.1500000000	-9.4280615697979
2853.1600000000	-9.3660411345477
2853.1700000000	-9.3058773590469
2853.1800000000	-9.2475215705732
2853.1900000000	-9.1909270406189
2853.2000000000	-9.1360488935082
2853.2100000000	-9.0828440202278
2853.2200000000	-9.0312709971321
2853.2300000000	-8.9812900092087
2853.2400000000	-8.9328627776115
2853.2500000000	-8.8859524911899
2853.2600000000	-8.8405237417603
2853.2700000000	-8.7965424628853
2853.2800000000	-8.7539758719417
2853.2900000000	-8.7127924152722
2853.3000000000	-8.6729617162338
2853.3100000000	-8.6344545259631
2853.3200000000	-8.5972426766965
2853.3300000000	-8.5612990374905
2853.3400000000	-8.5265974721995
2853.3500000000	-8.4931127995782
2853.3600000000	-8.4608207553832
2853.3700000000	-8.4296979563588
2853.3800000000	-8.3997218659970
2853.3900000000	-8.3708707619721
2853.4000000000	-8.3431237051536
2853.4100000000	-8.3164605101093
2853.4200000000	-8.2908617170157
2853.4300000000	-8.2663085648981
2853.4400000000	-8.2427829661271
2853.4500000000	-8.2202674821040
2853.4600000000	-8.1987453000705
2853.4700000000	-8.1782002109830
2853.4800000000	-8.1586165883958
2853.4900000000	-8.1399793682984
2853.5000000000	-8.1222740298599
2853.5100000000	-8.1054865770319
2853.5200000000	-8.0896035209659
2853.5300000000	-8.0746118632058
2853.5400000000	-8.0604990796138
2853.5500000000	-8.0472531049959
2853.5600000000	-8.0348623183904
2853.5700000000	-8.0233155289876
2853.5800000000	-8.0126019626505
2853.5900000000	-8.0027112490068
2853.6000000000	-7.9936334090850
2853.6100000000	-7.9853588434696
2853.6200000000	-7.9778783209499
2853.6300000000	-7.9711829676397
2853.6400000000	-7.9652642565470
2853.6500000000	-7.9601139975720
2853.6600000000	-7.9557243279140
2853.6700000000	-7.9520877028696
2853.6800000000	-7.9491968870040
2853.6900000000	-7.9470449456789
2853.7000000000	-7.9456252369214
2853.7100000000	-7.9449314036197
2853.7200000000	-7.9449573660299
2853.7300000000	-7.9456973145821
2853.7400000000	-7.9471457029726
2853.7500000000	-7.9492972415298
2853.7600000000	-7.9521468908423
2853.7700000000	-7.9556898556396
2853.7800000000	-7.9599215789130
2853.7900000000	-7.9648377362690
2853.8000000000	-7.9704342305039
2853.8100000000	-7.9767071863929
2853.8200000000	-7.9836529456827
2853.8300000000	-7.9912680622822
2853.8400000000	-7.9995492976419
2853.8500000000	-8.0084936163150
2853.8600000000	-8.0180981816941
2853.8700000000	-8.0283603519162
2853.8800000000	-8.0392776759298
2853.8900000000	-8.0508478897185
2853.9000000000	-8.0630689126748
2853.9100000000	-8.0759388441199
2853.9200000000	-8.0894559599625
2853.9300000000	-8.1036187094940
2853.9400000000	-8.1184257123128
2853.9500000000	-8.1338757553762
2853.9600000000	-8.1499677901730
2853.9700000000	-8.1667009300145
2853.9800000000	-8.1840744474394
2853.9900000000	-8.2020877717293
2854.0000000000	-8.2207404865306
2854.0100000000	-8.2400323275810
2854.0200000000	-8.2599631805355
2854.0300000000	-8.2805330788909
2854.0400000000	-8.3017422020045
2854.0500000000	-8.3235908732055
2854.0600000000	-8.3460795579951
2854.0700000000	-8.3692088623348
2854.0800000000	-8.3929795310195
2854.0900000000	-8.4173924461326
2854.1000000000	-8.4424486255829
2854.1100000000	-8.4681492217203
2854.1200000000	-8.4944955200279
2854.1300000000	-8.5214889378909
2854.1400000000	-8.5491310234380
2854.1500000000	-8.5774234544563
2854.1600000000	-8.6063680373770
2854.1700000000	-8.6359667063310
2854.1800000000	-8.6662215222731
2854.1900000000	-8.6971346721737
2854.2000000000	-8.7287084682776
2854.2100000000	-8.7609453474283
2854.2200000000	-8.7938478704572
2854.2300000000	-8.8274187216370
2854.2400000000	-8.8616607081990
2854.2500000000	-8.8965767599134
2854.2600000000	-8.9321699287319
2854.2700000000	-8.9684433884928
2854.2800000000	-9.0054004346882
2854.2900000000	-9.0430444842923
2854.3000000000	-9.0813790756522
2854.3100000000	-9.1204078684388
2854.3200000000	-9.1601346436611
2854.3300000000	-9.2005633037401
2854.3400000000	-9.2416978726460
2854.3500000000	-9.2835424960965
2854.3600000000	-9.3261014418182
2854.3700000000	-9.3693790998698
2854.3800000000	-9.4133799830294
2854.3900000000	-9.4581087272453
2854.4000000000	-9.5035700921509
2854.4100000000	-9.5497689616452
2854.4200000000	-9.5967103445392
2854.4300000000	-9.6443993752686
2854.4400000000	-9.6928413146752
2854.4500000000	-9.7420415508563
2854.4600000000	-9.7920056000845
2854.4700000000	-9.8427391077990
2854.4800000000	-9.8942478496683
2854.4900000000	-9.9465377327283
2854.5000000000	-9.9996147965946
2854.5100000000	-10.053485214752
2854.5200000000	-10.108155295924
2854.5300000000	-10.163631485520
2854.5400000000	-10.219920367167
2854.5500000000	-10.277028664325
2854.5600000000	-10.334963241990
2854.5700000000	-10.393731108479
2854.5800000000	-10.453339417320
2854.5900000000	-10.513795469216
2854.6000000000	-10.575106714123
2854.6100000000	-10.637280753412
2854.6200000000	-10.700325342143
2854.6300000000	-10.764248391436
2854.6400000000	-10.829057970951
2854.6500000000	-10.894762311480
2854.6600000000	-10.961369807649
2854.6700000000	-11.028889020739
2854.6800000000	-11.097328681630
2854.6900000000	-11.166697693861
2854.7000000000	-11.237005136826
2854.7100000000	-11.308260269101
2854.7200000000	-11.380472531901
2854.7300000000	-11.453651552685
2854.7400000000	-11.527807148904
2854.7500000000	-11.602949331894
2854.7600000000	-11.679088310932
2854.7700000000	-11.756234497446
2854.7800000000	-11.834398509393
2854.7900000000	-11.913591175804
2854.8000000000	-11.993823541512
2854.8100000000	-12.075106872060
2854.8200000000	-12.157452658794
2854.8300000000	-12.240872624154
2854.8400000000	-12.325378727171
2854.8500000000	-12.410983169170
2854.8600000000	-12.497698399683
2854.8700000000	-12.585537122601
2854.8800000000	-12.674512302544
2854.8900000000	-12.764637171476
2854.9000000000	-12.855925235572
2854.9100000000	-12.948390282339
2854.9200000000	-13.042046388004
2854.9300000000	-13.136907925180
2854.9400000000	-13.232989570817
2854.9500000000	-13.330306314449
2854.9600000000	-13.428873466755
2854.9700000000	-13.528706668428
2854.9800000000	-13.629821899385
2854.9900000000	-13.732235488313
2855.0000000000	-13.835964122573
2855.0100000000	-13.941024858474
2855.0200000000	-14.047435131926
2855.0300000000	-14.155212769489
2855.0400000000	-14.264375999840
2855.0500000000	-14.374943465655
2855.0600000000	-14.486934235948
2855.0700000000	-14.600367818852
2855.0800000000	-14.715264174894
2855.0900000000	-14.831643730751
2855.1000000000	-14.949527393526
2855.1100000000	-15.068936565553
2855.1200000000	-15.189893159755
2855.1300000000	-15.312419615579
2855.1400000000	-15.436538915520
2855.1500000000	-15.562274602267
2855.1600000000	-15.689650796488
2855.1700000000	-15.818692215278
2855.1800000000	-15.949424191305
2855.1900000000	-16.081872692661
2855.2000000000	-16.216064343463
2855.2100000000	-16.352026445227
2855.2200000000	-16.489786999033
2855.2300000000	-16.629374728528
2855.2400000000	-16.770819103788
2855.2500000000	-16.914150366065
2855.2600000000	-17.059399553467
2855.2700000000	-17.206598527595
2855.2800000000	-17.355780001169
2855.2900000000	-17.506977566685
2855.3000000000	-17.660225726144
2855.3100000000	-17.815559921869
2855.3200000000	-17.973016568478
2855.3300000000	-18.132633086033
2855.3400000000	-18.294447934400
2855.3500000000	-18.458500648889
2855.3600000000	-18.624831877175
2855.3700000000	-18.793483417578
2855.3800000000	-18.964498258724
2855.3900000000	-19.137920620628
2855.4000000000	-19.313795997260
2855.4100000000	-19.492171200615
2855.4200000000	-19.673094406335
2855.4300000000	-19.856615200939
2855.4400000000	-20.042784630679
2855.4500000000	-20.231655252084
2855.4600000000	-20.423281184207
2855.4700000000	-20.617718162643
2855.4800000000	-20.815023595323
2855.4900000000	-21.015256620142
2855.5000000000	-21.218478164441
2855.5100000000	-21.424751006378
2855.5200000000	-21.634139838214
2855.5300000000	-21.846711331545
2855.5400000000	-22.062534204497
2855.5500000000	-22.281679290920
2855.5600000000	-22.504219611590
2855.5700000000	-22.730230447453
2855.5800000000	-22.959789414935
2855.5900000000	-23.192976543346
2855.6000000000	-23.429874354421
2855.6100000000	-23.670567944042
2855.6200000000	-23.915145066220
2855.6300000000	-24.163696219410
2855.6400000000	-24.416314735309
2855.6500000000	-24.673096870283
2855.6600000000	-24.934141899665
2855.6700000000	-25.199552215238
2855.6800000000	-25.469433426289
2855.6900000000	-25.743894464804
2855.7000000000	-26.023047695491
2855.7100000000	-26.307009031560
2855.7200000000	-26.595898057442
2855.7300000000	-26.889838159991
2855.7400000000	-27.188956670086
2855.7500000000	-27.493385017122
2855.7600000000	-27.803258899499
2855.7700000000	-28.118718475000
2855.7800000000	-28.439908575939
2855.7900000000	-28.766978955120
2855.8000000000	-29.100084570062
2855.8100000000	-29.439385914658
2855.8200000000	-29.785049409432
2855.8300000000	-30.137247863943
2855.8400000000	-30.496161027630
2855.8500000000	-30.861976248568
2855.8600000000	-31.234889263099
2855.8700000000	-31.615105143196
2855.8800000000	-32.002839432468
2855.8900000000	-32.398319505668
2855.9000000000	-32.801786190127
2855.9100000000	-33.213495689761
2855.9200000000	-33.633721852397
2855.9300000000	-34.062758817037
2855.9400000000	-34.500924067096
2855.9500000000	-34.948561894062
2855.9600000000	-35.406047237892
2855.9700000000	-35.873789805854
2855.9800000000	-36.352238266889
2855.9900000000	-36.841884151985
2856.0000000000	-37.343264830029
2856.0100000000	-37.856964522876
2856.0200000000	-38.383611695910
2856.0300000000	-38.923870193027
2856.0400000000	-39.478419996660
2856.0500000000	-40.047921209848
2856.0600000000	-40.632951369933
2856.0700000000	-41.233900929408
2856.0800000000	-41.850803909772
2856.0900000000	-42.483069514114
2856.1000000000	-43.129065478061
2856.1100000000	-43.785486690437
2856.1200000000	-44.446430361911
2856.1300000000	-45.102112705127
2856.1400000000	-45.737249776470
2856.1500000000	-46.329372781031
2856.1600000000	-46.847847739429
2856.1700000000	-47.255048803453
2856.1800000000	-47.511398997880
2856.1900000000	-47.584629345387
2856.2000000000	-47.460150768041
2856.2100000000	-47.146578752189
2856.2200000000	-46.672533073198
2856.2300000000	-46.077004679094
2856.2400000000	-45.399276508814
2856.2500000000	-44.672588113499
2856.2600000000	-43.922009933116
2856.2700000000	-43.164980498876
2856.2800000000	-42.412894606125
2856.2900000000	-41.672784354745
2856.3000000000	-40.948708141592
2856.3100000000	-40.242774999878
2856.3200000000	-39.555854627877
2856.3300000000	-38.888051752867
2856.3400000000	-38.239015593730
2856.3500000000	-37.608138239593
2856.3600000000	-36.994679837131
2856.3700000000	-36.397846212758
2856.3800000000	-35.816835880630
2856.3900000000	-35.250867510301
2856.4000000000	-34.699195036527
2856.4100000000	-34.161115048231
2856.4200000000	-33.635969438771
2856.4300000000	-33.123145226877
2856.4400000000	-32.622072763097
2856.4500000000	-32.132223087408
2856.4600000000	-31.653104913519
2856.4700000000	-31.184261528544
2856.4800000000	-30.725267776940
2856.4900000000	-30.275727221437
2856.5000000000	-29.835269525904
2856.5100000000	-29.403548075628
2856.5200000000	-28.980237832931
2856.5300000000	-28.565033416107
2856.5400000000	-28.157647384529
2856.5500000000	-27.757808710682
2856.5600000000	-27.365261419553
2856.5700000000	-26.979763376636
2856.5800000000	-26.601085207092
2856.5900000000	-26.229009330262
2856.6000000000	-25.863329095370
2856.6100000000	-25.503848005905
2856.6200000000	-25.150379021693
2856.6300000000	-24.802743929070
2856.6400000000	-24.460772770827
2856.6500000000	-24.124303328678
2856.6600000000	-23.793180652000
2856.6700000000	-23.467256627416
2856.6800000000	-23.146389584528
2856.6900000000	-22.830443933739
2856.7000000000	-22.519289832632
2856.7100000000	-22.212802877855
2856.7200000000	-21.910863819844
2856.7300000000	-21.613358298069
2856.7400000000	-21.320176594767
2856.7500000000	-21.031213405401
2856.7600000000	-20.746367624268
2856.7700000000	-20.465542143894
2856.7800000000	-20.188643666997
2856.7900000000	-19.915582529949
2856.8000000000	-19.646272536761
2856.8100000000	-19.380630802764
2856.8200000000	-19.118577607203
2856.8300000000	-18.860036254070
2856.8400000000	-18.604932940550
2856.8500000000	-18.353196632536
2856.8600000000	-18.104758946699
2856.8700000000	-17.859554038655
2856.8800000000	-17.617518496829
2856.8900000000	-17.378591241616
2856.9000000000	-17.142713429500
2856.9100000000	-16.909828361815
2856.9200000000	-16.679881397859
2856.9300000000	-16.452819872076
2856.9400000000	-16.228593015075
2856.9500000000	-16.007151878245
2856.9600000000	-15.788449261751
2856.9700000000	-15.572439645730
2856.9800000000	-15.359079124471
2856.9900000000	-15.148325343438
2857.0000000000	-14.940137438952
2857.0100000000	-14.734475980384
2857.0200000000	-14.531302914721
2857.0300000000	-14.330581513357
2857.0400000000	-14.132276320985
2857.0500000000	-13.936353106458
2857.0600000000	-13.742778815501
2857.0700000000	-13.551521525152
2857.0800000000	-13.362550399815
2857.0900000000	-13.175835648817
2857.1000000000	-12.991348485349
2857.1100000000	-12.809061086679
2857.1200000000	-12.628946555535
2857.1300000000	-12.450978882541
2857.1400000000	-12.275132909603
2857.1500000000	-12.101384294131
2857.1600000000	-11.929709474012
2857.1700000000	-11.760085633217
2857.1800000000	-11.592490667969
2857.1900000000	-11.426903153377
2857.2000000000	-11.263302310476
2857.2100000000	-11.101667973607
2857.2200000000	-10.941980558110
2857.2300000000	-10.784221028286
2857.2400000000	-10.628370865663
2857.2500000000	-10.474412037554
2857.2600000000	-10.322326965981
2857.2700000000	-10.172098497028
2857.2800000000	-10.023709870723
2857.2900000000	-9.8771446915699
2857.3000000000	-9.7323868998583
2857.3100000000	-9.5894207439220
2857.3200000000	-9.4482307534841
2857.3300000000	-9.3088017142585
2857.3400000000	-9.1711186439572
2857.3500000000	-9.0351667698366
2857.3600000000	-8.9009315078998
2857.3700000000	-8.7683984438353
2857.3800000000	-8.6375533157437
2857.3900000000	-8.5083819986628
2857.4000000000	-8.3808704908630
2857.4100000000	-8.2550049018464
2857.4200000000	-8.1307714419462
2857.4300000000	-8.0081564133939
2857.4400000000	-7.8871462026949
2857.4500000000	-7.7677272741376
2857.4600000000	-7.6498861642502
2857.4700000000	-7.5336094770201
2857.4800000000	-7.4188838796963
2857.4900000000	-7.3056960990054
2857.5000000000	-7.1940329176351
2857.5100000000	-7.0838811708565
2857.5200000000	-6.9752277431822
2857.5300000000	-6.8680595649838
2857.5400000000	-6.7623636090156
2857.5500000000	-6.6581268868156
2857.5600000000	-6.5553364449741
2857.5700000000	-6.4539793612822
2857.5800000000	-6.3540427407818
2857.5900000000	-6.2555137117542
2857.6000000000	-6.1583794216911
2857.6100000000	-6.0626270332950
2857.6200000000	-5.9682437205607
2857.6300000000	-5.8752166649877
2857.6400000000	-5.7835330519708
2857.6500000000	-5.6931800674136
2857.6600000000	-5.6041448946056
2857.6700000000	-5.5164147113940
2857.6800000000	-5.4299766876815
2857.6900000000	-5.3448179832703
2857.7000000000	-5.2609257460699
2857.7100000000	-5.1782871106787
2857.7200000000	-5.0968891973453
2857.7300000000	-5.0167191113109
2857.7400000000	-4.9377639425283
2857.7500000000	-4.8600107657523
2857.7600000000	-4.7834466409892
2857.7700000000	-4.7080586142943
2857.7800000000	-4.6338337189010
2857.7900000000	-4.5607589766660
2857.8000000000	-4.4888213998112
2857.8100000000	-4.4180079929438
2857.8200000000	-4.3483057553347
2857.8300000000	-4.2797016834343
2857.8400000000	-4.2121827736065
2857.8500000000	-4.1457360250586
2857.8600000000	-4.0803484429482
2857.8700000000	-4.0160070416473
2857.8800000000	-3.9526988481426
2857.8900000000	-3.8904109055541
2857.9000000000	-3.8291302767538
2857.9100000000	-3.7688440480659
2857.9200000000	-3.7095393330325
2857.9300000000	-3.6512032762270
2857.9400000000	-3.5938230571020
2857.9500000000	-3.5373858938545
2857.9600000000	-3.4818790472965
2857.9700000000	-3.4272898247169
2857.9800000000	-3.3736055837220
2857.9900000000	-3.3208137360444
2858.0000000000	-3.2689017513083
2858.0100000000	-3.2178571607419
2858.0200000000	-3.1676675608271
2858.0300000000	-3.1183206168793
2858.0400000000	-3.0698040665470
2858.0500000000	-3.0221057232275
2858.0600000000	-2.9752134793890
2858.0700000000	-2.9291153097957
2858.0800000000	-2.8837992746295
2858.0900000000	-2.8392535225040
2858.1000000000	-2.7954662933679
2858.1100000000	-2.7524259212920
2858.1200000000	-2.7101208371399
2858.1300000000	-2.6685395711175
2858.1400000000	-2.6276707552015
2858.1500000000	-2.5875031254431
2858.1600000000	-2.5480255241490
2858.1700000000	-2.5092269019360
2858.1800000000	-2.4710963196610
2858.1900000000	-2.4336229502260
2858.2000000000	-2.3967960802585
2858.2100000000	-2.3606051116680
2858.2200000000	-2.3250395630804
2858.2300000000	-2.2900890711500
2858.2400000000	-2.2557433917537
2858.2500000000	-2.2219924010652
2858.2600000000	-2.1888260965156
2858.2700000000	-2.1562345976385
2858.2800000000	-2.1242081468056
2858.2900000000	-2.0927371098528
2858.3000000000	-2.0618119766006
2858.3100000000	-2.0314233612715
2858.3200000000	-2.0015620028071
2858.3300000000	-1.9722187650881
2858.3400000000	-1.9433846370602
